UNDERGRAD_UNIVERSITY,UNDERGRAD_UNI_LOCATION,total_applicants
SAN LORENZO RUIZ COLLEGE OF ORMOC,Local,51
MINDANAO SANITARIUM & HOSPITAL COLLEGE ILIGAN CITY,Local,50
SOUTH SEED - LPDH COLLEGE,Local,50
NAGA COLLEGE FOUNDATION,Local,50
CEBU DOCTOR'S UNIVERSITY COLLEGE OF MEDICINE - MANDAUE CITY CEBU,Local,49
SAN JUAN DE DIOS EDUCATIONAL FOUNDATION INC.,Local,48
DE LA SALLE - COLLEGE OF SAINT BENILDE,Local,47
PILAR COLLEGE,Local,47
MOUNTAIN VIEW COLLEGE BUKIDNON,Local,46
MAPUA INSTITUTE OF TECHNOLOGY - MANILA,Local,46
PHILIPPINE WOMEN'S UNIVERSITY TAFT AVENUE MANILA,Local,46
PHILIPPINE CHRISTIAN UNIVERSITY,Local,45
MEDINA COLLEGE,Local,45
LYCEUM OF THE PHILIPPINES - LAGUNA,Local,45
UNIVERSITY OF PERPETUAL HELP SYSTEM - LAGUNA,Local,44
NOTRE DAME OF DADIANGAS COLLEGE GEN. SANTOS,Local,44
UNIVERSITY OF THE ASSUMPTION,Local,44
UNIVERSITY OF PERPETUAL HELP SYSTEM - BINAN LAGUNA,Local,44
BROKENSHIRE COLLEGE DAVAO CITY,Local,43
UNIVERSITY OF CAGAYAN VALLEY,Local,43
UNIVERSITY OF THE VISAYAS - MANDAUE,Local,42
LA CONSOLACION COLLEGE,Local,41
FILAMER CHRISTIAN UNIVERSITY,Local,41
YAMAN LAHI FOUNDATION - EMILIO AGUINALDO COLLEGE,Local,40
ST. JUDE COLLEGE MANILA,Local,39
LOURDES COLLEGE,Local,39
UNIVERSIDAD DE STA. ISABEL NAGA CITY,Local,39
UNIVERSITY OF BOHOL,Local,37
NEW ERA UNIVERSITY QUEZON CITY,Local,37
NUEVA ECIJA COLLEGES,Local,37
DAVAO MEDICAL SCHOOL FOUNDATION INC.,Local,36
ILIGAN MEDICAL CENTER ILIGAN CITY,Local,36
UNIVERSITY OF LUZON,Local,36
NORTHWESTERN UNIVERSITY,Local,36
PINES CITY COLLEGES - BAGUIO CITY,Local,35
CALAYAN EDUCATIONAL FOUNDATION,Local,35
MEDINA COLLEGE - PAGADIAN,Local,35
ST. PAUL UNIVERSITY - TUGUEGARAO CAGAYAN,Local,34
ARELLANO UNIVERSITY,Local,34
SAINT MARY'S COLLEGE OF TAGUM,Local,34
HOLY TRINITY UNIVERSITY,Local,33
SAN BEDA COLLEGE - ALABANG,Local,33
OUR LADY OF GUADALUPE COLLEGES,Local,33
CAPITOL MEDICAL CENTER COLLEGE Q.C.,Local,32
LYCEUM OF THE PHILIPPINES - ST. CABRINI COLLEGE OF ALLIED MEDICINE,Local,31
UNIVERSITY OF CEBU (FORMERLY CEBU CENTRAL COLLEGES),Local,30
UNIVERSITY OF PERPETUAL HELP SYSTEM DALTA - CALAMBA,Local,30
UNIVERSITY OF ST. LA SALLE - DASMARIÑAS CAVITE,Local,30
ST. JOSEPH'S COLLEGE OF QUEZON CITY,Local,30
LYCEUM OF BATANGAS,Local,30
LYCEUM OF THE PHILIPPINES UNIVERSITY,Local,30
WESLEYAN UNIVERSITY-PHILIPPINES CABANATUAN CITY,Local,29
LA SALLE UNIVERSITY,Local,29
ST. ANTHONY COLLEGE OF ROXAS CITY,Local,29
UNIVERSITY OF ASIA AND THE PACIFIC,Local,28
UNIVERSITY OF LA SALETTE SANTIAGO CITY,Local,28
SURIGAO EDUCATION CENTER,Local,27
PHILIPPINE REHABILITATION INSTITUTE FOUNDATION,Local,27
RIVERSIDE COLLEGE BACOLOD CITY,Local,27
ST. SCHOLASTICA'S COLLEGE - TACLOBAN CITY,Local,26
CEBU INSTITUTE OF TECHNOLOGY - UNIVERSITY,Local,26
ST. DOMINIC COLLEGE OF ARTS AND SCIENCES OF CAVITE,Local,26
PHILIPPINE COLLEGE OF HEALTH SCIENCES,Local,26
MANUEL S. ENVERGA UNIVERSITY FOUNDATION - LUCENA,Local,26
MAPUA INSTITUTE OF TECHNOLOGY,Local,26
UNIVERSITY OF PERPETUAL HELP SYSTEM,Local,25
UNIVERSITY OF THE IMMACULATE CONCEPCION DAVAO CITY,Local,25
WEST NEGROS UNIVERSITY,Local,25
UNION CHRISTIAN COLLEGE,Local,25
UNIVERSITY OF MINDANAO,Local,24
PLT COLLEGE,Local,24
WORLD CITI COLLEGES,Local,24
LORMA COLLEGE SAN FERNANDO LA UNION,Local,24
NATIONAL UNIVERSITY,Local,24
RIVERSIDE COLLEGE OF NURSING BACOLOD,Local,23
UNIVERSITY OF PERPETUAL HELP RIZAL - MOLINO,Local,23
UPH-DR. JOSE G. TAMAYO MEDICAL UNIV.,Local,23
KESTER GRANT COLLEGE - PHILIPPINES,Local,22
ASSUMPTION COLLEGE MAKATI,Local,22
CHINESE GENERAL HOSPITAL COLLEGE OF NURSING & LIBERAL ARTS,Local,22
COLEGIO DE SAN AGUSTIN BACOLOD,Local,22
GOOD SAMARITAN COLLEGES,Local,22
MISAMIS UNIVERSITY,Local,22
ST. MICHAEL'S COLLEGE,Local,22
JOHN PAUL II COLLEGE OF DAVAO,Local,21
MEDICAL COLLEGES OF NORTHERN PHILIPPINES CAGAYAN,Local,21
MANILA THEOLOGICAL COLLEGE,Local,21
DE LOS SANTOS - STI COLLEGE,Local,21
DIVINE WORD COLLEGE OF LEGAZPI,Local,21
CENTRAL LUZON DOCTOR'S HOSPITAL TARLAC,Local,21
AQUINAS UNIVERSITY LEGASPI CITY,Local,21
HOLY NAME UNIVERSITY - TAGBILARAN CITY,Local,21
DE LA SALLE COLLEGE OF SAINT BENILDE - MANILA,Local,20
PHILIPPINE COLLEGE OF HEALTH SCIENCES INC.,Local,20
OUR LADY OF MT. CARMEL INSTITUTE OF MEDICAL STUDIES,Local,20
AGO MEDICAL AND EDUCATIONAL CENTER LEGAZPI CITY,Local,20
COLEGIO DE DAGUPAN,Local,20
BALIUAG UNIVERSITY,Local,20
OLIVAREZ COLLEGE,Local,19
UNIVERSITY OF PERPETUAL HELP COLLEGE OF LAS PINAS,Local,19
UNIVERSITY OF SAN JOSE RECOLETOS CEBU,Local,18
LYCEUM OF THE PHILIPPINES,Local,18
ARELLANO UNIVERSITY - PASIG,Local,18
COLLEGE OF THE HOLY SPIRIT OF TARLAC,Local,18
MAPUA INSTITUTE OF TECHNOLOGY - MAKATI,Local,18
TAGUM DOCTORS COLLEGE,Local,18
COLEGIO DE SAN JUAN DE LETRAN CALAMBA,Local,18
COLEGIO DE STA. LOURDES OF LEYTE FOUNDATION,Local,18
HOLY ANGEL UNIVERSITY ANGELES CITY,Local,18
OUR LADY OF FATIMA UNIVERSITY - PAMPANGA,Local,17
ST. JOSEPH COLLEGE CAVITE CITY,Local,17
ANDRES BONIFACIO COLLEGE,Local,17
UNIVERSITY OF PANGASINAN DAGUPAN CITY,Local,17
LA CONSOLACION UNIVERSITY PHILIPPINES,Local,17
CANOSSA COLLEGE,Local,16
DE OCAMPO MEMORIAL COLLEGE,Local,16
MANILA ADVENTIST MEDICAL CENTER - PASAY CITY,Local,16
SAINT PAUL COLLEGE OF ILOCOS SUR,Local,16
ST. PAUL COLLEGE ILOILO,Local,16
SOUTHEAST ASIAN COLLEGE INC.-QUEZON CITY,Local,16
NORTHERN LUZON ADVENTIST COLLEGE,Local,16
NATIONAL UNIVERSITY - CEDCE,Local,16
IMMACULATE CONCEPTION COLLEGE - ALBAY,Local,16
LIPA CITY COLLEGES,Local,15
LYCEUM OF THE PHILIPPINES - CAVITE,Local,15
UNIVERSITY OF BATANGAS,Local,15
NORTH VALLEY COLLEGE FOUNDATION,Local,15
CARITAS FAMILY HOSPITAL AND COLLEGES,Local,15
ARELLANO UNIVERSITY - PASAY,Local,15
MARY CHILES COLLEGE,Local,15
DR. P. OCAMPO COLLEGES,Local,15
LYCEUM OF ILIGAN FOUNDATION,Local,15
CALAMBA DOCTORS' COLLEGE,Local,14
ST. PAUL UNIVERSITY SURIGAO,Local,14
SAINT TONIS COLLEGE,Local,14
NOTRE DAME OF TACURONG COLLEGE,Local,14
CENTRAL COLLEGES OF THE PHILIPPINES,Local,13
HOLY CROSS OF DAVAO COLLEGE,Local,13
UNIVERSITY OF SAINT ANTHONY,Local,13
COLEGIO DE SAN LORENZO RUIZ DE MANILA OF NORTHERN SAMAR,Local,13
ST. FERDINAND COLLEGE - ILAGAN,Local,13
SAINT GABRIEL COLLEGE,Local,13
NOTRE DAME OF MIDSAYAP COLLEGE,Local,13
DE LA SALLE - ARANETA UNIVERSITY,Local,13
UNIVERSITY OF BOHOL TAGBILARAN CITY,Local,13
WESTERN LEYTE COLLEGE OF ORMOC CITY,Local,13
SACRED HEART COLLEGE LUCENA CITY,Local,13
UNIVERSITY OF PERPETUAL HELP SYSTEM - GMA,Local,13
DOMINICAN COLLEGE,Local,13
UNCIANO COLLEGES,Local,12
UNCIANO COLLEGES AND GENERAL HOSPITAL,Local,12
MEDINA COLLEGE - IPIL,Local,12
PHILIPPINE REHABILITATION INSTITUTE,Local,12
NOTRE DAME OF MARBEL UNIV.,Local,12
AMA COMPUTER COLLEGE,Local,12
COLLEGE OF HOLY SPIRIT-MANILA,Local,12
FIRST ASIA INSTITUTE OF TECHNOLOGY AND HUMANITIES,Local,12
DR. YANGA'S COLLEGES,Local,12
UNIVERSITY OF PERPETUAL HELP - CALAMBA LAGUNA,Local,12
CENTRAL PHILIPPINE ADVENTIST COLLEGE NEGROS OCCIDENTAL,Local,12
LYCEUM OF APARRI,Local,12
SOUTHEAST ASIAN COLLEGE INC.-ESPANA MANILA,Local,12
CORDILLERA CAREER DEVELOPMENT COLLEGE,Local,11
UNIVERSITY OF PERPETUAL HELP - RIZAL,Local,11
NORTHERN CHRISTIAN COLLEGE,Local,11
NOTRE DAME OF JOLO COLLEGE - JOLO SULU,Local,11
DR. CARLOS LANTING COLLEGE - NOVALICHES QUEZON CITY,Local,11
OLIVAREZ COLLEGE SUCAT PARA$AQUE,Local,11
UNIVERSITY OF ILOILO,Local,11
UNIVERSITY OF CORDILLERAS,Local,11
MEDINA COLLEGE OZAMIS MISAMIS ORIENTAL,Local,11
BRENT HOSPITAL AND COLLEGES INC. ZAMBOANGA CITY,Local,11
FOUNDATION UNIVERSITY,Local,11
ST. JOSEPH'S COLLEGE QUEZON CITY,Local,11
KIDAPAWAN DOCTORS COLLEGE INC.,Local,11
LAGUNA COLLEGE,Local,11
MABINI COLLEGES,Local,11
FELLOWSHIP BAPTIST COLLEGE,Local,11
CHRIST THE KING COLLEGE - CALBAYOG CITY,Local,11
VIRGEN MILAGROSA EDUCATIONAL INSTITUTE SAN CARLOS CITY,Local,11
JOSE RIZAL UNIVERSITY,Local,10
MARY HELP OF CHRISTIANS COLLEGE SEMINARY,Local,10
SIENA COLLEGE OF TAYTAY,Local,10
ST. LUKE'S SCHOOL OF MEDICINE INDIA,Local,10
UM TAGUM COLLEGE,Local,10
COLUMBAN COLLEGE - OLONGAPO CITY,Local,10
POLYTECHNIC COLLEGE OF DAVAO DEL SUR,Local,10
BROKENSHIRE COLLEGE SOCSKSARGEN,Local,10
NOTRE DAME OF KIDAPAWAN COLLEGE,Local,10
DOMINICAN COLLEGE BLUM SAN JUAN MM,Local,9
LA SALLE COLLEGE - ANTIPOLO,Local,9
UNIVERSITY OF PERPETUAL HELP DALTA SYSTEM-ALABANG ZAPOTE,Local,9
PATTS COLLEGE OF AERONAUTICS,Local,9
CENTRO ESCOLAR UNIVERSITY-MALOLOS BULACAN,Local,9
SAN SEBASTIAN COLLEGE - RECOLETOS CANLUBANG,Local,9
KALAYAAN COLLEGE,Local,9
SAN SEBASTIAN COLLEGE - RECOLETOS DE CAVITE,Local,9
CHIANG KAI SHEK COLLEGE,Local,9
DELOS SANTOS COLLEGE,Local,9
MINDANAO MEDICAL FOUNDATION COLLEGE DAVAO,Local,9
NOTRE DAME OF MARBEL COLLEGE SOUTH COTABATO,Local,9
MAPANDI MEMORIAL COLLEGE,Local,8
ALDERSGATE COLLEGE,Local,8
PHILIPPINE WOMEN'S COLLEGE OF DAVAO,Local,8
UNIVERSITY OF CEBU - LAPULAPU AND MANDAUE,Local,8
ST. JOSEPH COLLEGE CAVITE,Local,8
FELIPE R. VERALLO MEMORIAL FOUNDATION - BOGO,Local,8
ENDERUN COLLEGE,Local,8
LA CONSOLACION COLLEGE - DAET,Local,8
COLLEGE OF ST. JOHN - ROXAS,Local,8
UNIVERSITY OF THE ASSUMPTION PAMPANGA,Local,8
UNIVERSITY OF LUZON ( DAGUPAN CITY ),Local,7
CONCORDIA COLLEGE,Local,7
NORTHEASTERN COLLEGE,Local,7
COLLEGE OF THE IMMACULATE CONCEPTION,Local,7
COTABATO MEDICAL FOUNDATION COLLEGE,Local,7
DAVAO CENTRAL COLLEGE,Local,7
WEST NEGROS COLLEGE BACOLOD,Local,7
OLIVAREZ COLLEGE - TAGAYTAY,Local,7
PANPACIFIC UNIVERSITY NORTH PHILIPPINES - URDANETA CITY,Local,7
MALASIQUI AGNO VALLEY COLLEGE - MALASIQUI PANGASINAN,Local,7
DR. JOSE FABELLA MEMORIAL HOSPITAL SCHOOL OF MIDWIFERY,Local,7
BICOL COLLEGE,Local,7
UNIVERSITY OF IMMACULATE CONCEPTION-DAVAO CITY,Local,7
SAINT MARY'S COLLEGE OF SAN JUAN,Local,7
SAINT LOUIS COLLEGE,Local,7
SAINT LOUIS COLLEGE - CITY OF SAN FERNANDO,Local,7
THE COLLEGE OF MAASIN,Local,7
SAFFRULLAH M. DIPATUAN FOUNDATION ACADEMY,Local,7
KESTER GRANT COLLEGE PHILS. INC.,Local,7
SAN SEBASTIAN COLLEGE,Local,7
HOLY TRINITY COLLEGE PUERTO PRINCESA,Local,7
INTERNATIONAL COLLEGES OF ASIA - TAMBAC PANGASINAN,Local,7
ST. ANTHONY COLLEGE OF ROXAS CITY CAPIZ,Local,6
ST. BERNADETTE OF LOURDES COLLEGE,Local,6
AGO MEDICAL EDUCATIONAL FOUNDATION LEGASPI CITY,Local,6
ARRIESGADO COLLEGE FOUNDATION,Local,6
UNIVERSITY OF THE IMMACULATE CONCEPTION COLLEGE DAVAO,Local,6
ST. MARY'S UNIVERSITY NUEVA VIZCAYA,Local,6
SOUTHERN LUZON POLYTECHNIC COLLEGE - LUCBAN QUEZON,Local,6
COLEGIO DE SAN LORENZO,Local,6
MAHARDIKA INSTITUTE OF TECHNOLOGY,Local,6
SAN ISIDRO COLLEGE,Local,6
LYCEUM NORTHWESTERN - FLORENCIA T. DUQUE COLLEGE,Local,6
COLEGIO DE KIDAPAWAN,Local,6
COR JESU COLLEGE,Local,6
NOVAGEN COLLEGE OF QUEZON CITY,Local,6
ST. JOSEPH COLLEGE AMAYA,Local,6
ASIA-PACIFIC INTERNATIONAL UNIVERSITY,Local,6
AMA COMPUTER COLLEGE - TUGUEGARAO CITY,Local,6
OUR LADY OF FATIMA NOVALICHES,Local,6
THE NATIONAL TEACHERS COLLEGE,Local,6
ANGELES SYSTEMS PLUS COMPUTER COLLEGE,Local,6
OUR LADY OF THE PILLAR COLLEGE - CAUAYAN,Local,6
FL VARGAS COLLEGE - TUGUEGARAO,Local,5
CENTRAL COLLEGE OF PANGASINAN - SAN CARLOS CITY PANGASINAN,Local,5
UNIV. OF ASIA AND THE PACIFIC - PASIG CITY,Local,5
CAGAYAN DE ORO COLLEGE,Local,5
AMA SCHOOL OF MEDICINE - EAST RIZAL,Local,5
PALAWAN POLYTECHNIC COLLEGE,Local,5
DR. DOMINGO B. TAMONDONG MEMORIAL SCHOOL,Local,5
NEW SINAI SCHOOL AND COLLEGES STA. ROSA,Local,5
TRACE COLLEGE,Local,5
AKLAN POLYTECHNIC COLLEGE,Local,5
SIENA COLLEGE-TAYTAY,Local,5
ASIAN COLLEGE OF SCIENCE AND TECHNOLOGY - CUBAO,Local,5
COLEGIO DE SAN JUAN DE LETRAN MANILA,Local,5
SAINT MICHAEL'S COLLEGE OF LAGUNA,Local,5
LIPA CITY COLLEGES BATANGAS,Local,5
LUNA GOCO COLLEGES,Local,5
FEU - FERN COLLEGE,Local,5
ASSUMPTION COLLEGE OF NABUNTURAN,Local,4
ABADA COLLEGE,Local,4
UV-GULLAS COLLEGE OF MEDICINE - MANDAUE CITY CEBU,Local,4
ST. DOMINIC SAVIO COLLEGE,Local,4
HOLY ROSARY MINOR SEMINARY,Local,4
ST. PETER'S COLLEGE,Local,4
FILAMER CHRISTIAN COLLEGE ROXAS CITY,Local,4
ATENEO DE CAGAYAN UNIVERSITY,Local,4
ARAULLO UNIVERSITY,Local,4
LA UNION COLLEGE OF NURSING ARTS AND SCIENCES,Local,4
SAN PABLO MAJOR SEMINARY,Local,4
J.P. SIOSON GENERAL HOSPITAL AND COLLEGES,Local,4
ST. RITA HOSPITAL COLLEGE OF NURSING AND SCHOOL OF MIDWIFERY,Local,4
MATI DOCTORS COLLEGE,Local,4
SAINT FERDINAND COLLEGE,Local,4
SAINT PAUL COLLEGE FOUNDATION,Local,4
SAINT PAUL UNIVERSITY PHILIPPINES - TUGUEGARAO CITY (CAPITAL) CAGAYAN,Local,4
SULTAN KUDARAT EDUCATIONAL INSTITUTION,Local,4
STI EDUCATION SERVICES GROUP - GLOBAL CITY,Local,4
UNIVERSITY OF NORTHEASTERN PHILIPPINES,Local,4
FAMILY CLINIC INC. COLLEGES MANILA,Local,4
UNIVERSITY OF NUEVA CACERES NAGA CITY,Local,4
LYCEUM OF NORTHERN LUZON,Local,4
