UNDERGRAD_UNIVERSITY,UNDERGRAD_UNI_LOCATION,total_applicants
UNIVERSITY OF HAWAII AT MANOA,International,9
UNIVERSITY OF ILLINOIS CHICAGO,International,9
UNIVERSITY OF CALIFORNIA SANTA CRUZ,International,8
THAMMASAT UNIV.,International,8
UNIVERSITY OF BRITISH COLUMBIA,International,8
UNIVERSITY OF TEXAS,International,8
RAMKHAMHAENG UNIVERSITY,International,8
PRINCE OF SONGKLA UNIVERSITY,International,8
UNIVERSITY OF HOUSTON,International,7
UNIVERSITY OF CALIFORNIA MERCED,International,7
UNIVERSITY OF SOUTH FLORIDA USA,International,6
EAST AFRICA UNIVERSITY,International,6
UNIVERSITY AT BUFFALO,International,6
KASETSART UNIVERSITY,International,6
RUNGSIT UNIVERSITY,International,6
UNIVERSITY OF MARYLAND - MARYLAND U.S.A.,International,6
CHIANGMAI UNIVERSITY,International,6
CALIFORNIA STATE UNIVERSITY - FULLERTON,International,6
SAN DIEGO STATE UNIVERSITY - CALIFORNIA U.S.A.,International,6
MAHASARAKHAM UNIVERSITY,International,6
KHON KAEN UNIVERSITY,International,6
ASSUMPTION UNIVERSITY,International,6
LADOKE AKINTOLA UNIVERSITY OF TECHNOLOGY OGBOMOSO,International,6
ST. ANDREW'S INTERNATIONAL ACADEMY INDIA,International,5
UNIVERSITY OF WISCONSIN-MADISON,International,5
UNIVERSITY OF NEVADA - RENO,International,5
UNIVERSITY OF MICHIGAN,International,5
UNIVERSITY OF NEW ENGLAND,International,5
SUNRISE UNIVERSITY,International,5
UNIVERSITY OF CONNECTICUT,International,5
ADVENTIST INDONESIA UNIVERSITY INDONESIA,International,5
UNIVERSITY OF TEXAS AT ARLINGTON,International,5
ARIZONA STATE UNIVERSITY,International,5
MOGADISHU UNIVERSITY,International,5
KHON KAEN UNIVERSITY THAILAND,International,5
KITASATO UNIVERSITY,International,5
TEMPLE UNIVERSITY USA,International,5
SIAM UNIVERSITY,International,5
UNIVERSITY OF BRITISH COLUMBIA CANADA,International,5
RAMKHAMHAENG UNIV.,International,5
PENSACOLA CHRISTIAN COLLEGE,International,5
NEW YORK UNIVERSITY NY USA,International,5
RUTGERS COLLEGE NEW JERSEY,International,5
CHAING MAI UNIVERSITY-THAILAND,International,5
SRI CHAITANYA JUNIOR COLLEGE,International,5
ANAND HOMEOPATHIC MEDICAL COLLEGE AND RESEARCH INSTITUTE,International,4
ANDHRA UNIVERSITY,International,4
RAJAMANGALA UNIVERSITY OF TECHNOLOGY THANYABURI,International,4
LOYOLA MARYMOUNT UNIVERSITY,International,4
BINGHAMTON UNIVERSITY,International,4
UNIVERSITY OF MARYLAND COLLEGE PARK,International,4
UNIVERSITY OF SYDNEY,International,4
AZAD UNIVERSITY OF TEHRAN SHAMAL,International,4
UNIVERSITY OF WEST FLORIDA,International,4
BARUCH COLLEGE,International,4
MADONNA UNIVERSITY,International,4
MEDGAR EVERS COLLEGE,International,4
MMA MATRIC HIGHER SECONDARY SCHOOL,International,4
LOYOLA UNIVERSITY CHICAGO U.S.A.,International,4
WALAILAK UNIVERSITY,International,4
JOHNS HOPKINS UNIVERSITY,International,4
OPJS UNIVERSITY CHURU,International,4
OLABISI ONABANJO UNVERSITY AGO-IWOYE.,International,4
ISLAMIC AZAD UNIVERSITY,International,4
MONASH UNIVERSITY,International,4
SAN DIEGO STATE UNIVERSITY,International,4
SRINAKARINWIROTE UNIVERSITY THAILAND,International,4
UNIVERSITY OF AUCKLAND,International,4
THE OHIO STATE UNIVERSITY,International,4
THE TAMIL NADU DR. M.G.R. MEDICAL UNIVERSITY,International,4
ST.THERESA INTERNATIONAL COLLEGE,International,4
SILPAKORN UNIVERSITY,International,4
UNIVERSITY OF SOUTHERN CALIFORNIA,International,4
UNIVERSITY OF SOUTH FLORIDA,International,4
BOROMARAJONANI COLLEGE OF NURSING SURIN,International,4
UNIVERSITY OF MELBOURNE,International,4
BINGHAM UNIVERSITY,International,4
UNIVERSITY OF IBADAN,International,4
BOSTON UNIVERSITY,International,4
CALIFORNIA STATE UNIVERSITY EAST BAY,International,4
UNIVERSITY OF NORTH FLORIDA,International,4
SIMON FRASER UNIVERSITY,International,4
GOVERNMENT SCHOOL,International,4
DR.NTR UNIVERSITY OF HEALTH SCIENCE,International,4
DREXEL UNIVERSITY,International,4
UNIVERSITY OF ARIZONA,International,4
SJG AYURVEDIC MEDICAL COLLEGE,International,4
SRM UNIVERSITY,International,4
DEAKIN UNIVERSITY,International,4
UNIVERSITY OF GHANA,International,4
DR RAM MANOHAR LOHIA AVADH UNIVERSITY FAIZABAD,International,4
SAN FRANCISCO STATE UNIVERSITY,International,4
PRAGATHI DEGREE COLLEGE,International,4
HUACHIEN CHALERMPRAKIET UNIVERSITY THAILAND,International,4
CHINA MEDICAL COLLEGE,International,3
BHARATI VIDYAPEETH DEEMED UNIVERSITY,International,3
CALIFORNIA STATE UNIVERSITY NORTHRIDGE,International,3
UNIVERSITY OF ILORIN,International,3
CALIFORNIA STATE UNIVERSITY LOS ANGELES,International,3
BAYLOR UNIVERSITY,International,3
BAYLOR UNIVERSITY TEXAS USA,International,3
WINONA STATE UNIVERSITY,International,3
YORK UNIVERSITY CANADA,International,3
AMBROSE ALLI UNIVERSITY,International,3
UNIVERSITY OF KENTUCKY - KENTUCKY U.S.A.,International,3
BUNDELKHAND UNIVERSITY JHANSI,International,3
BOSTON COLLEGE MA USA,International,3
BOWEN UNIVERSITY,International,3
UNIVERSITY OF RAJASTHAN,International,3
UNIVERSITY OF PITTSBURGH USA,International,3
UNIVERSITY OF VIRGINIA,International,3
UNIVERSITY OF TEXAS AT AUSTIN,International,3
UNIVERSITY OF PORTHARCOURT,International,3
UNIVERSITY OF SOUTHERN CALIFORNIA USA,International,3
BISHOP HEBER COLLEGE,International,3
SHRIDHAR UNIVERSITY,International,3
HALLYM UNIVERSITY,International,3
UNIVERSITY OF BENIN,International,3
UNIVERSITY OF BRADFORD,International,3
FORDHAM COLLEGE BRONX NEW YORK USA,International,3
STANFORD UNIVERSITY CALIFORNIA U.S.A.,International,3
DR MGR MEDICAL UNIVERSITY,International,3
FRANKLIN & MARSHALL COLLEGE,International,3
THE MAHARAJA SAYAJIRAO UNIVERSITY OF BARODA,International,3
CONSOLATA SCHOOL OF NURSING,International,3
CREIGHTON UNIVERSITY,International,3
CALIFORNIA STATE POLYTECHNIC UNIV. CA USA,International,3
CORNELL UNIVERSITY,International,3
DR NAYAPALI COLLEGE,International,3
HONG KONG METROPOLITAN UNIVERSITY,International,3
RAJIV GANDHI UNIVERSITY OF HEALTH SCIENCES,International,3
OLABISI ONABANJO UNIVERISTY,International,3
JAYA COLLEGE OF ARTS AND SCIENCE,International,3
NIMS NURSING COLLEGE,International,3
PRINCE OF SONGKHLA UNIVERSITY,International,3
GEETANJALI COLLEGE OF NURSHING,International,3
IMPHAL COLLEGE,International,3
IMO STATE UNIVERSITY,International,3
PACIFIC UNION COLLEGE,International,3
SANJEEVAN COLLEGE OF PHARMACY,International,3
NATIONAL UNIVERSITY OF SINGAPORE,International,3
MICHIGAN STATE UNIVERSITY,International,3
MIDDLE TENNESSEE STATE UNIVERSITY,International,3
NEW YORK UNIVERSITY,International,3
MADHUSUDAN SCHOOL OF NURSING,International,3
AMERICAN UNIVERSITY OF NIGERIA,International,3
WASHINGTON STATE UNIVERSITY,International,3
ALIAH UNIVERSITY,International,2
ADELPHI UNIVERSITY NEW YORK U.S.A.,International,2
WESTERN SYDNEY UNIVERSITY,International,2
WESTERN UNIVERSITY,International,2
B. R. MIRDHA COLLEGE,International,2
BAPUJI AYURVEDIC MEDICAL COLLEGE,International,2
UNIVERSITY OF TEXAS (DALLAS),International,2
UNIVERSITY OF TEXAS SAN ANTONIO,International,2
UNIVERSITY OF THE PACIFIC ALBANY CA USA,International,2
LOMA LINDA UNIVERSITY RIVERSIDE CA,International,2
KAKATIYA UNIVERSITY,International,2
KAMAKHYA PEMTON COLLEGE,International,2
UNIVERSITY OF MIAMI - FLORIDA U.S.A.,International,2
BOND UNIVERSITY,International,2
BOROMARAJONANI COLLEGE OF NURSING KHONKAEN,International,2
BRIGHAM YOUNG UNIVERSITY-HAWAII,International,2
ASSUMPTION UNIVERSITY OF THAILAND,International,2
UNIVERSITY OF NIGERIA,International,2
UNIVERSITY OF OKLAHOMA,International,2
CALIFORNIA STATE UNIVERSITY HAYWARD,International,2
UNIVERSITY OF KANSAS,International,2
INDIRA GANDHI NATIONAL OPEN UNIVERSITY,International,2
MAHIDOL,International,2
UNIVERSITY OF KHARTOUM SUDAN,International,2
UNIVERSITY OF LUCKNOW,International,2
UNIVERSITY OF CANBERRA,International,2
CHIA-NAN PHARMACY COLLEGE TAIWAN,International,2
CHRISTIAN MEDICAL COLLEGE VELLORE,International,2
CHUNGSHAN MEDICAL UNIVERSITY TAIWAN,International,2
CAL POLY POMONA,International,2
UNIVERSITY OF GEORGIA,International,2
UNIVERSITY OF GEORGIA U.S.A.,International,2
UNIVERSITY OF GREENWICH,International,2
UNIVERSITY OF HAWAII,International,2
UNIVERSITY OF BRITISH COLUMBIA - VANCOUVER CAMPUS,International,2
UNIVERSITY OF CALGARY - QATAR,International,2
DE MONTFORT UNIVERSITY,International,2
DOLHI MODEL PUBLIC SCHOOL,International,2
UNIVERSITY OF CALIFORNIA LOS ANGELES (UCLA),International,2
TULANE UNIVERSITY,International,2
TUNG WAH COLLEGE,International,2
DR. SHANKAR DAYAL SHARMA COLLEGE OF NURSING BHOPAL,International,2
MARYVILLE UNIVERSITY,International,2
MEDICAL INSTITUTE JORHAT,International,2
MADONNA UNIVERSITY NIGERIA,International,2
KASETSANT UNIVERSITY THAILAND,International,2
KHONKAEN UNIVERSITY,International,2
KING MONGKUT'S INSTITUTE OF TECHNOLOGY LADKRABANG,International,2
KING SAUD UNIVERSITY SAUDI ARABIA,International,2
KOREAN UNIVERSITY,International,2
DREW UNIVERSITY,International,2
UNIVERSITY AT BUFFALO THE STATE UNIVERSITY OF NEW YORK,International,2
THE OHIO STATE UNIV.,International,2
PACE UNIVERSITY NEW YORK,International,2
MAHIDOL UNIVERSITY INTERNATIONAL COLLEGE,International,2
THE UNIVERSITY OF BRITISH COLUMBIA,International,2
THE UNIVERSITY OF MELBOURNE,International,2
TOWSON UNIVERSITY,International,2
STATE UNIVERSITY OF NEW YORK,International,2
FEDERAL UNIVERSITY OF TECHNOLOGY AKURE,International,2
FITCHBURG STATE UNIVERSITY,International,2
FORDHAM UNIVERSITY,International,2
FU JEN UNIVERSITY,International,2
SUKHOTHAI THAMMATHIRAT OPEN UNIVERSITY THAILAND,International,2
SONOMA STATE UNIVERSITY,International,2
SRI VENKATA SAI COLLEGE OF NURSING,International,2
SEKOLAH TINGGI FILSAFAT DRIYARKARA,International,2
SEOUL NATIONAL UNIVERSITY,International,2
GEORGE MASON UNIVERSITY VIRGINIA USA,International,2
KADUNA STATE UNIVERSITY,International,2
HARVARD UNIVERSITY BOSTON MAS.,International,2
OSAKA INTERNATIONAL UNIVERSITY,International,2
GOVT AYURVEDIC COLLEGE BOLANGIR,International,2
EDWARDES COLLEGE PESHAWAR,International,2
SHANDONG MEDICAL UNIVERSITY,International,2
SHIVAJI COLLEGE OF NURSING RUHS,International,2
SHREE SHREE GOURGOBIND GIRLS COLLEGE,International,2
S. P. Y GAYA,International,2
SAINT SAHARA AYURVEDIC MEDICAL COLLEGE & HOSPITAL BATHINDA,International,2
SAITAMA PREFECTURAL UNIVERSITY,International,2
SAN FRANCISCO STATE UNIVERSITY USA,International,2
SAN JOSE STATE UNIVERSITY,International,2
SANTA CLARA UNIVERSITY,International,2
SANTA CLARA UNIVERSITY CALIFORNIA USA,International,2
SARDAR PATEL UNIVERSITY,International,2
SCRIPPS COLLEGE,International,2
PEPPERDINE UNIVERSITY,International,2
PEPPERDINE UNIVERSITY CALIFORNIA,International,2
PURDUE UNIVERSITY,International,2
JAMES MADISON UNIVERSITY,International,2
RATCHATHANI UNIVERSITY,International,2
RTR MEMORIAL SCHOOL-MAKATI MED. CTR. MAKATI,International,2
PENNSYLVANIA STATE UNIVERSITY USA,International,2
HAWAII PACIFIC UNIVERSITY,International,2
HUNTER COLLEGE USA,International,2
WILLIAM CAREY UNIVERSITY MEGHALAYA,International,2
UNIVERSITY OF SYDNEY AUSTRALIA,International,2
B M MEMORIAL DEGREE COLLEGE,International,2
B S COLLEGE DANAPUR PATNA,International,2
ANAMBRA STATE UNIVERSITY ULI,International,2
ANNAMALAI UNIVERSITY,International,2
ARNI UNIVERSITY,International,2
WEBSTER UNIVERSITY,International,2
VICTORIA UNIVERSITY OF WELLINGTON,International,1
VELAMMAL MATRIC HR.SEC.SCHOOL,International,1
V.H.DAVE HOMEOPATHIC COLLEGE,International,1
V B S PURVANCAL UNIVERSITY,International,1
UNSW SYDNEY,International,1
UNIVERSITY OF YORK,International,1
UNIVERSITY OF WYOMING,International,1
UNIVERSITY OF WORCESTER,International,1
WEST VIRGINIA WESLEYAN COLLEGE,International,1
ASSUMPTION UNIVERSITY BANGKOK THAILAND,International,1
ARIZONA STATE UNIVERSITY USA,International,1
ANNAMMAL COLLAGE OF NURSING,International,1
AVS MAHAVIDYALAYA,International,1
AUSTRALIAN CATHOLIC UNIVERSITY,International,1
UNIVERSITY OF TENNESSEE - KNOXVILLE,International,1
UNIVERSITY OF TECHNOLOGY SYDNEY,International,1
AJAYI CROWTHER UNIVERSITY,International,1
YUAN PEI INSTITUTE OF MEDICAL TECHNOLOGY TAIWAN,International,1
YASHODA COLLEGE OF NURSING HYDERABAD,International,1
YASHODA COLLEGE OF NURSING,International,1
WORLD CLASSICAL TAMIL UNIVERSITY,International,1
WINDSOR UNIVERSITY,International,1
WILLIAM PATERSON UNIVERSITY,International,1
WILLIAM CAREY UNIVERSITY,International,1
GAUHATI UNIVERSITY,International,1
INDIANA UNIVERSITY,International,1
HUNTER COLLEGE,International,1
HUNGKUANG UNIVERSITY (TAIWAN),International,1
HOFSTRA UNIVERSITY NEW YORK,International,1
HIROSHIMA UNIVERSITY,International,1
HIMALAYAN UNIVERSITY,International,1
PATNA UNIVERSITY,International,1
RYERSON UNIVERSITY,International,1
RAM-EESH INSTITUTE OF VOCATIONAL AND TECHNICAL EDUCATION,International,1
RAJIV GANDHI UNIVERSITY HEALTH SCIENCE,International,1
JACKSON STATE UNIVERSITY,International,1
ISHRM SCHOOL SYSTEM,International,1
INTERNATIONAL COLLEGE NAGAUR,International,1
INTERNATIONAL AMERICAN UNIVERSITY COLLEGE OF MEDICINE,International,1
NORTH EAST FRONTIER TECHNICAL UNIVERSITY,International,1
R.L.S.Y COLLEGE RANCHI UNIVERSITY,International,1
QUEEN'S UNIVERSITY BELFAST,International,1
PURDUE UNIV.,International,1
PT. L.M.S. GOVT. P.G. COLLEGE RISHIKESH,International,1
PRINCE OF SONGKLA UNIVERSITY INDONESIA,International,1
PRACHOMKLAO COLLEGE OF NURSING,International,1
GAZIANTEP UNIVERSITY,International,1
RADHA KRUSHNA TOSHNIWAL AYURVED MAHAVIDYALAYA,International,1
SARVANAND SHANDILYA YOGESHWAR MAHAVIDALYA,International,1
S.V.M SCIENCE AND TECHNOLOGY P.G. COLLEGE,International,1
S.M.D COLLEGE NECHUYA JALALPUR,International,1
SIMON FRACER UNIVERSITY,International,1
SIL[AKORN UNIVERSITY,International,1
SILPAHORM COLLEGE THAILAND,International,1
SHREE KRISHNA GOVT.AYURVEDIC COLLEGE AND HOSPITAL KURURKSHETRA,International,1
SETON HALL UNIVERSITY NJ USA,International,1
EDITH COWAN UNIVERSITY,International,1
EBONYI STATE UNIVERSITY ABAKALIKI EBONYI,International,1
GURU GHASHIDAS UNIVERSITY,International,1
GREENWOOD HIGHER SECONDARY SCHOOL,International,1
GRACELAND UNIVERSITY,International,1
GOVT. J.D.B. GIRLS COLLEGE,International,1
GOVERNMENT HOLKAR SCIENCE COLLAGE INDORE,International,1
GOVERNEMENT YOGA AND NATUROPATHIC MEDICAL COLLEGE AND HOSPITAL,International,1
GOVERMENT DEGREE COLLEGE SUMBAL,International,1
OSAKA UNIVERSITY,International,1
OPJS UNIVERSITY CHURU RAJSTHAN (INDIA),International,1
NSHM COLLEGE OF MANAGEMENT & TECHNOLOGY,International,1
NOTRE DAME DE NAMUR UNIVERSITY,International,1
NORTHERN ILLINOIS UNIVERSITY,International,1
NORTHEASTERN UNIVERSITY,International,1
NORTH PARK COLLEGE IL USA,International,1
HARIA HIGH SCHOOL,International,1
HAN YOUNG UNIVERSITY SEOUL KOREA,International,1
JODHUPUR NATONAL UNIVERSITY,International,1
JODHUPUR NATIONAL UNIVERSITY,International,1
JAWAHARLAL INSTITUDE OF POSTGRADUATE MEDICAL EDUCATION & RESEARC,International,1
JANTA DEGREE COLLEGE,International,1
GEORGIA SOUTHERN UNIVERSITY,International,1
GEORGETOWN UNIVERSITY,International,1
SEJONG UNIVERSITY KOREA,International,1
ST. JOHN'S UNIVERSITY NEW YORK USA,International,1
ST. CRISPIN'S SEC SCHOOL,International,1
SRV BOYS HIGHER SECONDARY SCHOOL,International,1
SRINAKARINWIROT UNIVERSITY,International,1
SRI B.R.MIRDHA GOVT. COLLEGE,International,1
SOUTHERN METHODIST UNIVERSITY-DALLAS TEXAS,International,1
SOUTHERN ILLINOIS UNIVERSITY OF CARBONDALE - ILLINOIS,International,1
SMT. VIDYAWATI COLLEGE OF PHARMACY JHANSI,International,1
SKAMC,International,1
TEXAS TECH UNIVERSITY,International,1
TEXAS A & M UNIVERSITY USA,International,1
TEERTHANKER MAHAVEER UNIVERSITY,International,1
TADIKELA SUBBAIAH COLLEGE OF NURSING,International,1
SUNY STONY BROOK NEW YORK,International,1
SUNG KYUN KWAN UNIVERSITY KOREA,International,1
SUNCHON NATIONAL UNIVERSITY KOREA,International,1
SUKHOTHAI THAMMATHIRAT OPEN UNIVERSITY,International,1
DONG-A UNIVERSITY KOREA,International,1
DOLHI PUBLIC SCHOOL,International,1
GANDHI S K COLL BERA MATHURA,International,1
G.K COLLEGE,International,1
G PRASAD SHUKLA IC GAURA CHAUKI GONDA,International,1
FREED HARDEMAN UNIVERSITY,International,1
FEDERAL UNIVERSITY OF AGRICULTURE ABEOKUTA,International,1
FACULTY OF NURSING MAHIDOL UNIVERSITY,International,1
EXCELSIOR COLLEGE,International,1
TRINITY COLLEGE DUBLIN,International,1
TOLANI INSTITUTE OF PHARMACY ADIPUR,International,1
THE UNIVERSITY OF RAJASTHAN,International,1
THE UNIVERSITY OF QUEENSLAND,International,1
THE UNIVERSITY OF PITTSBURGH,International,1
MAJO UNIV. THAILAND,International,1
NEW JERSEY INSTITUTE OF TECHNOLOGY NEW JERSEY,International,1
NEW JERSEY INSTITUTE OF TECHNOLOGY,International,1
NATIONAL TAIWAN SPORT UNIVERSITY,International,1
NAT. SUN-YAT SEN UNIV TAIWAN,International,1
NARAYANA VIDYALAYAM,International,1
NARAYANA JUNIOR COLLEGE,International,1
NANYANG POLYTECHNIC,International,1
NAKHONRATCHASIMA COLLEGE,International,1
N R PUBLIC SCHOOL,International,1
MURDOCH UNIVERSITY,International,1
MOUNT MORIAH COLLEGE,International,1
MOTHER THERESA POST GRADUATE AND RESEARCH INSTITUTE,International,1
OVERSEAS PAKISTANI FOUNDATION,International,1
THE HINDU HSS,International,1
THE COLLEGE OF NEW JERSEY,International,1
UNIVERSITY OF ALBERTA CANADA,International,1
UNIVERSITY AT ALBANY,International,1
UNIVERSIDAD CENTRAL DEL ECUADOR,International,1
UDAYANA UNIVERSITY,International,1
U.N.P.G COLLEGE PADRAUNA,International,1
COLLEGE OF NURSING DHAMTARI CHRISTIAN HOSPITAL,International,1
COLLEGE OF NURSING D.C.H DHAMTARI,International,1
CITY UNIVERSITY NEW YORK,International,1
EASTERN MICHIGAN UNIVERSITY USA,International,1
EASTERN ASIA UNIVERSITY,International,1
DR.G.V.N.SCHOOL OF NURSING,International,1
KOCHI UNIVERSITY,International,1
KAOHSIUNG MEDICAL UNIVERSITY,International,1
MADRAS CHRISTIAN COLLEGE,International,1
MODERN PUBLIC SENIOR SECONDARY SCHOOL,International,1
MINOT STATE UNIVERSITY,International,1
MGR MEDICAL UNIVERSITY,International,1
MERCER UNIVERSITY,International,1
MAYURBHANJ HOMOEOPATHIC MEDICAL COLLEGE & HOSPITAL,International,1
DR. RAM MANOHAR LOHIYA DEGREE COLLEGE,International,1
DR RAM MANOHAR LOHIA AVADH UNIVERSITY,International,1
DR NTR UNIVERSITY OF HEALTH SCIENCES,International,1
TZUCHIUNIVERSITY,International,1
UNIVERSITY OF CALIFORNIA AT DAVIS,International,1
UNIVERSITY OF CALGARY CANADA,International,1
CHANG-GUNG COLL. OF MEDICINE AND TECH. TAIWAN,International,1
CENTRAL UNIVERSITY,International,1
DEEN DAYAL UPADHYAYA GORKHPUR UNIVERSITY GORKHPUR,International,1
DEE HWA LIONG COLLEGE FOUNDATION,International,1
DAV PUB SCHOOL,International,1
DALHOUSIE UNIVERSTY,International,1
CSI COLLEGE OF NURSING,International,1
CONNECTICUT COLLEGE - USA,International,1
CONCORDIA UNIVERSITY IRVINE,International,1
UNIVERSITY OF CINCINNATI,International,1
UNIVERSITY OF CHICAGO LOYOLA,International,1
CALIFORNIA POLYTECHNIC STATE UNIVERSITY SAN LUIS OBSIPO,International,1
CHUNGTAI INSTITUTE OF HEALTH SCIENCES AND TECHNOLOGY,International,1
CHUNG SHAN MEDICAL COLLEGE,International,1
CHICO STATE UNIVERSITY,International,1
CHHATRAPATI SHAHUJI MAHARAJ UNIVERSITY,International,1
CHAUDHARY CHARAN SINGH UNIVERSITY,International,1
UNIVERSITY OF CAPE COAST,International,1
UNIVERSITY OF MASSACHUSETTS U.S.A.,International,1
UNIVERSITY OF MASSACHUSETTS AMHERST,International,1
UNIVERSITY OF MASSACHUSETTS,International,1
UNIVERSITY OF MANITOBA,International,1
UNIVERSITY OF LAGOS,International,1
KWAME NKRUMAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,International,1
MAHATMA GANDHI UNIVERSITY,International,1
MAHATMA GANDHI KASHI VIDYAPITH,International,1
MAHARSHI DAYANAND UNIVERSITY ROHTAK,International,1
MAHARISHI DAYANAND UNIVERSITY,International,1
MAHARASHTRA UNIVERSITY OF HEALTH SCIENCES NASHIK,International,1
MAHARASHTRA UNIVERSITY OF HEALTH SCIENCES,International,1
MAHARAJA SURAJMAL SENIOR SECONDARY SCHOOL,International,1
MAGADH UNIVERSITY,International,1
MAE FAH LUANG,International,1
INTEGRAL UNIVERSITY,International,1
INDIANA UNIVERSITY - BLOOMINGTON INDIANA U.S.A.,International,1
KV ZURICH BUSINESS SCHOOL ZURICH,International,1
KOVAI MEDICAL CENTER AND HOSPITAL LIMITED,International,1
UNIVERSITY OF IOWA USA,International,1
CENTRAL ACADEMY VIKAS,International,1
CATHOLIC UNIVERSITY OF BUEA,International,1
CARLETON UNIVERSITY,International,1
CALIFORNIA STATE UNIVERSITY BAKERSFIELD,International,1
CALIFORNIA STATE UNIVERSITY - NORTHRIDGE CA,International,1
UNIVERSITY OF HOUSTON TEXAS,International,1
UNIVERSITY OF PHAYAO,International,1
UNIVERSITY OF PENNSYLVANIA USA,International,1
UNIVERSITY OF PAPUA NEW GUINEA,International,1
"UNIVERSITY OF NOTRE DAME (INDIANA, USA)",International,1
UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE,International,1
UNIVERSITY OF MINNESOTA - TWIN CITIES,International,1
AUGUSTANA COLLEGE,International,1
AUGUSTA UNIVERSITY,International,1
C.K.R.D.M. NURSING COLLEGE,International,1
BOROMARAJONANI COLLEGE OF NURSING CHANGWAT NONTHABURI,International,1
BOROMARAJONANI COLLEGE OF NURSING,International,1
UNIVERSITY OF MEMPHIS - MEMPHIS USA,International,1
UNIVERSITY OF SOUTH CAROLINA,International,1
UNIVERSITY OF SCRANTON USA,International,1
UNIVERSITY OF SCRANTON,International,1
UNIVERSITY OF SAN DIEGO CA USA,International,1
AMITY UNIVERSITY,International,1
ACHARYA NAGARJUNA UNIVERSITY,International,1
KALINGA UNIVERSITY,International,1
M A PUBLIC SCHOOL,International,1
LYCEUM NORTH WESTERN UNIVERSITY,International,1
LOYOLA MARYMOUNT UNIVERSITY LOS ANGELES CALIFORNIA,International,1
LOYOLA COLLEGE IN MARYLAND BALTIMORE U.S.A.,International,1
LOMA LINDA UNIVERSITY,International,1
LIBERTY UNIVERSITY USA,International,1
LIBERTY COLLEGE OF NURSING MANSAROVAR JAIPUR,International,1
LEAD CITY UNIVERSITY,International,1
LADOKE AKINTOLA UNIVERSITY OF TECHNOLOGY,International,1
LA SIERRA UNIVERSITY,International,1
UNIVERSITY OF QUEENSLAND AUSTRALIA,International,1
UNIVERSITY OF QUEENSLAND,International,1
UNIVERSITY OF PORTLAND,International,1
UNIVERSITY OF WASHINGTON - SEATTLE,International,1
UNIVERSITY OF WARWICK,International,1
UNIVERSITY OF THAI CHAMBER OF COMMERCE THAILAND,International,1
UNIVERSITY OF TEXAS RIO GRANDE VALLEY,International,1
UNIVERSITY OF WESTERN ONTARIO,International,1
BHARATHIDASAN UNIVERSITY,International,1
BENUE STATE UNIVERSITY,International,1
BANGALORE UNIVERSITY INDIA,International,1
VINAYAKA MISSION KIRUPANANDA VARIYAR MEDICAL COLLEGE ANDHOSPITAL,International,1
VINAYAKA MISSION UNIVERSITY,International,1
AIRLANGGA UNIVERSITY,International,1
AL-QUDS UNIVERSITY,International,1
ZAPAROZHY STATE MEDICAL UNIVERSITY,International,1
